model,best_threshold,best_f1,best_precision,best_recall,cv_f1_mean,cv_f1_std,cv_threshold,cv_precision,cv_recall,arch_cv_f1_mean,arch_cv_f1_std,arch_cv_threshold,roc_auc,recall_at_0.90,total_pairs,total_duplicates
all-minilm_latest,0.63,0.9785,0.9799,0.977,0.9764,0.0054,0.63,0.9774,0.9754,0.9616,0.0256,0.61,0.9978,0.368,4415,2440
bge-m3_latest,0.69,0.9897,0.9864,0.9931,0.9888,0.0039,0.69,0.984,0.9936,0.9841,0.0129,0.69,0.9989,0.2865,4475,2475
mxbai-embed-large_latest,0.72,0.9868,0.9793,0.9943,0.9857,0.0046,0.72,0.98,0.9916,0.9787,0.0129,0.72,0.9988,0.4735,4475,2475
nomic-embed-text_latest,0.73,0.9816,0.9799,0.9834,0.9803,0.0032,0.73,0.9799,0.9807,0.9722,0.0106,0.73,0.9971,0.3576,4475,2475
qwen3-embedding_latest,0.74,0.9899,0.9868,0.9931,0.9895,0.0009,0.74,0.9867,0.9924,0.9796,0.0145,0.73,0.9991,0.5737,4475,2475
snowflake-arctic-embed_latest,0.65,0.98,0.9786,0.9814,0.9801,0.0031,0.65,0.9787,0.9815,0.966,0.0154,0.64,0.9979,0.221,4475,2475
