model,best_threshold,best_f1,best_precision,best_recall,cv_f1_mean,cv_f1_std,cv_threshold,cv_precision,cv_recall,arch_cv_f1_mean,arch_cv_f1_std,arch_cv_threshold,roc_auc,recall_at_0.90,total_pairs,total_duplicates
all-minilm_latest,0.62,0.9787,0.9767,0.9807,0.9787,0.0034,0.62,0.9768,0.9808,0.9713,0.0176,0.61,0.997,0.3709,4363,2440
bge-m3_latest,0.68,0.987,0.9786,0.9956,0.9859,0.0033,0.69,0.9803,0.9915,0.9809,0.0095,0.69,0.998,0.2905,4475,2475
mxbai-embed-large_latest,0.75,0.9857,0.9859,0.9855,0.984,0.0027,0.74,0.981,0.9871,0.9831,0.0114,0.74,0.9978,0.4723,4475,2475
nomic-embed-text_latest,0.73,0.9734,0.9651,0.9818,0.9723,0.0023,0.73,0.9657,0.9791,0.9761,0.006,0.73,0.9943,0.3556,4475,2475
qwen3-embedding_latest,0.73,0.9906,0.9856,0.9956,0.9899,0.0041,0.73,0.9843,0.9955,0.9824,0.0117,0.72,0.9987,0.5786,4475,2475
snowflake-arctic-embed_latest,0.67,0.9783,0.9833,0.9733,0.976,0.0059,0.64,0.9688,0.9834,0.969,0.0128,0.65,0.9972,0.2238,4475,2475
