model,best_threshold,best_f1,best_precision,best_recall,roc_auc,recall_at_0.90,total_pairs,total_duplicates
tfidf_baseline,0.17,0.9723,0.9657,0.979,0.9955,0.0008,4475,2475
bm25_baseline,0.13,0.9511,0.9331,0.9697,0.9816,0.0008,4475,2475
bm25f_baseline,0.09,0.923,0.9167,0.9293,0.9689,0.0069,4475,2475
bm25f_tuned,0.05,0.9232,0.9144,0.9321,0.9593,0.0,4475,2475
