model,threshold,precision,recall,f1,tp,fp,fn,tn
bge-m3_latest,0.73,0.9906,0.9754,0.9829,2414,23,61,1977
bge-m3_latest,0.74,0.9938,0.9665,0.9799,2392,15,83,1985
bge-m3_latest,0.75,0.9945,0.9527,0.9732,2358,13,117,1987
bge-m3_latest,0.76,0.9949,0.9378,0.9655,2321,12,154,1988
bge-m3_latest,0.77,0.9952,0.9228,0.9577,2284,11,191,1989
bge-m3_latest,0.78,0.996,0.8986,0.9448,2224,9,251,1991
bge-m3_latest,0.79,0.9963,0.8731,0.9307,2161,8,314,1992
bge-m3_latest,0.8,0.9971,0.8392,0.9114,2077,6,398,1994
bge-m3_latest,0.81,0.9975,0.8085,0.8931,2001,5,474,1995
bge-m3_latest,0.82,0.9984,0.7729,0.8713,1913,3,562,1997
bge-m3_latest,0.83,0.9983,0.7164,0.8342,1773,3,702,1997
bge-m3_latest,0.84,0.9988,0.6675,0.8002,1652,2,823,1998
bge-m3_latest,0.85,0.9993,0.6109,0.7583,1512,1,963,1999
bge-m3_latest,0.86,0.9993,0.5531,0.7121,1369,1,1106,1999
bge-m3_latest,0.87,0.9992,0.4844,0.6525,1199,1,1276,1999
bge-m3_latest,0.88,0.999,0.423,0.5944,1047,1,1428,1999
bge-m3_latest,0.89,0.9989,0.3596,0.5288,890,1,1585,1999
bge-m3_latest,0.9,0.9986,0.2865,0.4452,709,1,1766,1999
bge-m3_latest,0.91,0.9982,0.2279,0.3711,564,1,1911,1999
bge-m3_latest,0.92,0.9976,0.1681,0.2877,416,1,2059,1999
bge-m3_latest,0.93,0.9964,0.1123,0.2019,278,1,2197,1999
bge-m3_latest,0.94,0.994,0.0675,0.1264,167,1,2308,1999
bge-m3_latest,0.95,0.987,0.0307,0.0596,76,1,2399,1999
bge-m3_latest,0.96,0.9697,0.0129,0.0255,32,1,2443,1999
bge-m3_latest,0.97,0.8571,0.0024,0.0048,6,1,2469,1999
bge-m3_latest,0.98,0.0,0.0,0.0,0,1,2475,1999
bge-m3_latest,0.99,0.0,0.0,0.0,0,1,2475,1999
mxbai-embed-large_latest,0.5,0.6508,1.0,0.7885,2475,1328,0,672
mxbai-embed-large_latest,0.51,0.6691,1.0,0.8017,2475,1224,0,776
mxbai-embed-large_latest,0.52,0.691,1.0,0.8172,2475,1107,0,893
