model,dim,is_full,best_threshold,f1,precision,recall,storage_100k_mb,f1_loss_vs_full
nomic-embed-text_latest,128,False,0.78,0.9654,0.9619,0.9689,48.8,0.0088
nomic-embed-text_latest,256,False,0.75,0.9686,0.9592,0.9782,97.7,0.0056
nomic-embed-text_latest,512,False,0.73,0.9728,0.9632,0.9826,195.3,0.0014
nomic-embed-text_latest,768,True,0.73,0.9742,0.9651,0.9834,293.0,0.0
qwen3-embedding_latest,128,False,0.78,0.9899,0.9864,0.9935,48.8,0.0007
qwen3-embedding_latest,256,False,0.77,0.9907,0.9876,0.9939,97.7,-0.0001
qwen3-embedding_latest,512,False,0.77,0.9909,0.9883,0.9935,195.3,-0.0003
qwen3-embedding_latest,4096,True,0.73,0.9906,0.9856,0.9956,1562.5,0.0
