batch_size,latency_s,latency_per_item_ms,pass,pass_type
10,8.612371188995894,861.2371188995894,1,cold
10,8.938790787011385,893.8790787011385,1,cold
10,7.75424430903513,775.424430903513,1,cold
10,8.148847944976296,814.8847944976296,1,cold
10,9.598623387981206,959.8623387981206,1,cold
10,8.312521399988327,831.2521399988327,1,cold
10,7.22026062902296,722.026062902296,1,cold
10,6.612560723966453,661.2560723966453,1,cold
10,6.1244788889889605,612.447888898896,1,cold
10,6.674573127005715,667.4573127005715,1,cold
10,1.5118424579850398,151.18424579850398,1,cold
10,2.1538320429972373,215.38320429972373,1,cold
10,1.7532340699690394,175.32340699690394,1,cold
10,1.1878910610103048,118.78910610103048,1,cold
10,1.9835503270151094,198.35503270151094,1,cold
10,1.5443019020021893,154.43019020021893,1,cold
10,1.2928002689732239,129.2800268973224,1,cold
10,1.9852688810206018,198.52688810206018,1,cold
10,2.503381246002391,250.33812460023907,1,cold
10,1.9385801349999383,193.85801349999383,1,cold
10,1.7631406799773686,176.31406799773686,1,cold
10,2.170528627000749,217.0528627000749,1,cold
10,2.8147856289870106,281.47856289870106,1,cold
10,1.2595708619919606,125.95708619919604,1,cold
10,1.9007566039799713,190.07566039799713,1,cold
10,2.487965105974581,248.7965105974581,1,cold
10,1.8393824439845048,183.93824439845048,1,cold
10,1.842027042992413,184.2027042992413,1,cold
10,1.5369822820066474,153.69822820066474,1,cold
10,2.1195238120271824,211.95238120271824,1,cold
10,1.8897309029707685,188.97309029707685,1,cold
10,1.5656432830146514,156.56432830146514,1,cold
10,1.8797004900407046,187.97004900407046,1,cold
10,1.989965796994511,198.9965796994511,1,cold
10,1.7004008470103145,170.04008470103145,1,cold
10,1.818908776040189,181.8908776040189,1,cold
10,1.7656016729888506,176.56016729888506,1,cold
10,1.862860981025733,186.2860981025733,1,cold
10,1.9650547640048899,196.505476400489,1,cold
10,1.9598178550368175,195.98178550368175,1,cold
10,4.001247655018233,400.1247655018233,1,cold
10,5.085728980018757,508.5728980018758,1,cold
10,2.438891499012243,243.8891499012243,1,cold
10,5.701198310998734,570.1198310998734,1,cold
10,4.566314910014626,456.63149100146256,1,cold
10,2.1092396650346927,210.92396650346927,1,cold
10,5.9421089550014585,594.2108955001459,1,cold
10,2.749812889029272,274.9812889029272,1,cold
10,5.5295109959552065,552.9510995955206,1,cold
10,5.85895027796505,585.895027796505,1,cold
10,5.585601605998818,558.5601605998818,1,cold
10,4.58482022996759,458.48202299675904,1,cold
10,4.631239966023713,463.12399660237134,1,cold
10,5.094592573994305,509.45925739943056,1,cold
10,3.1975958510302007,319.7595851030201,1,cold
10,4.768910815007985,476.89108150079846,1,cold
10,5.066232275974471,506.62322759744717,1,cold
10,5.192222836019937,519.2222836019937,1,cold
10,3.2528461680049077,325.28461680049077,1,cold
10,6.13147115096217,613.147115096217,1,cold
10,5.087890206021257,508.78902060212573,1,cold
10,5.900185979960952,590.0185979960952,1,cold
10,4.577414383995347,457.7414383995347,1,cold
10,4.456363037985284,445.6363037985284,1,cold
10,5.577719634980895,557.7719634980895,1,cold
10,8.582362818007823,858.2362818007823,2,warm
10,8.91582690703217,891.5826907032169,2,warm
10,7.742057505995035,774.2057505995035,2,warm
10,8.179392181045841,817.9392181045841,2,warm
10,9.536675288982224,953.6675288982224,2,warm
