batch_size,latency_s,latency_per_item_ms,pass,pass_type
10,8.328646995010786,832.8646995010786,1,cold
10,9.02170764002949,902.170764002949,1,cold
10,7.969257120974362,796.9257120974362,1,cold
10,8.77555217500776,877.555217500776,1,cold
10,9.845551233971491,984.5551233971491,1,cold
10,8.568682760000229,856.8682760000229,1,cold
10,7.966383396007586,796.6383396007586,1,cold
10,7.3093453900073655,730.9345390007365,1,cold
10,6.581073062028736,658.1073062028736,1,cold
10,7.2130083160009235,721.3008316000924,1,cold
10,1.8305824359995313,183.05824359995313,1,cold
10,2.627151185006369,262.7151185006369,1,cold
10,2.223203542002011,222.3203542002011,1,cold
10,1.4937630270142108,149.37630270142108,1,cold
10,2.1583190870005637,215.83190870005637,1,cold
10,1.88820702501107,188.820702501107,1,cold
10,1.505848198023159,150.5848198023159,1,cold
10,2.20668027800275,220.668027800275,1,cold
10,2.890053848037496,289.0053848037496,1,cold
10,2.4161638799705543,241.61638799705543,1,cold
10,2.2590907040284947,225.90907040284947,1,cold
10,2.505776136997156,250.57761369971558,1,cold
10,3.4714141429867595,347.14141429867595,1,cold
10,1.5887831219588406,158.87831219588406,1,cold
10,2.2751557329902425,227.51557329902425,1,cold
10,2.827004630002193,282.7004630002193,1,cold
10,2.122924941999372,212.2924941999372,1,cold
10,2.4215102500165813,242.15102500165813,1,cold
10,1.7754135070135817,177.54135070135817,1,cold
10,2.685890392982401,268.5890392982401,1,cold
10,2.3655342860147357,236.55342860147357,1,cold
10,1.8861652430496179,188.61652430496179,1,cold
10,2.382277967000846,238.22779670008458,1,cold
10,2.225063437013887,222.5063437013887,1,cold
10,2.122023333038669,212.2023333038669,1,cold
10,2.210241560009308,221.02415600093082,1,cold
10,2.150908055016771,215.0908055016771,1,cold
10,2.248933145951014,224.8933145951014,1,cold
10,2.1913240359863266,219.13240359863266,1,cold
10,2.4180569339659996,241.80569339659996,1,cold
10,4.582902129972354,458.29021299723536,1,cold
10,5.573388483026065,557.3388483026065,1,cold
10,2.8776125789736398,287.761257897364,1,cold
10,6.12606570502976,612.606570502976,1,cold
10,4.6671052009915,466.71052009915,1,cold
10,2.4898917229729705,248.98917229729705,1,cold
10,6.383474961970933,638.3474961970933,1,cold
10,3.4378719680244103,343.78719680244103,1,cold
10,5.7260078769759275,572.6007876975928,1,cold
10,6.269429070991464,626.9429070991464,1,cold
10,5.861720059008803,586.1720059008803,1,cold
10,4.903289843001403,490.3289843001403,1,cold
10,4.694352567952592,469.4352567952592,1,cold
10,5.471302354999352,547.1302354999352,1,cold
10,3.650552710983902,365.0552710983902,1,cold
10,4.8467447310104035,484.67447310104035,1,cold
10,5.749960883986205,574.9960883986205,1,cold
10,5.6132710730307736,561.3271073030774,1,cold
10,3.8119058110169135,381.19058110169135,1,cold
10,6.8225443859701045,682.2544385970104,1,cold
10,5.4087196190375835,540.8719619037583,1,cold
10,6.025793856009841,602.5793856009841,1,cold
10,4.815518280025572,481.55182800255716,1,cold
10,4.9705765619874,497.05765619874,1,cold
10,6.414099009998608,641.4099009998608,1,cold
10,8.504215879016556,850.4215879016556,2,warm
10,9.172528777970001,917.2528777970001,2,warm
10,8.502888361050282,850.2888361050282,2,warm
10,8.995124334003776,899.5124334003776,2,warm
10,9.834845674980897,983.4845674980897,2,warm
10,8.60893482901156,860.893482901156,2,warm
10,7.916226011002436,791.6226011002436,2,warm
10,7.274269592016935,727.4269592016935,2,warm
10,6.601096559024882,660.1096559024882,2,warm
10,7.264697153994348,726.4697153994348,2,warm
10,1.853024749958422,185.3024749958422,2,warm
10,2.638009492016863,263.8009492016863,2,warm
10,2.2061727790278383,220.61727790278383,2,warm
10,1.4764241570373997,147.64241570373997,2,warm
10,2.1878231239970773,218.78231239970773,2,warm
10,1.830457640986424,183.0457640986424,2,warm
10,1.5835903779952787,158.35903779952787,2,warm
10,2.20738416997483,220.738416997483,2,warm
10,2.940563916985411,294.0563916985411,2,warm
10,2.468738095019944,246.8738095019944,2,warm
10,2.365374781016726,236.5374781016726,2,warm
10,2.48120130202733,248.12013020273298,2,warm
10,3.5482395999715663,354.82395999715663,2,warm
10,1.6161123889614828,161.61123889614828,2,warm
10,2.3065839060000144,230.65839060000144,2,warm
10,2.82624611799838,282.624611799838,2,warm
10,2.135199840995483,213.5199840995483,2,warm
10,2.469085063028615,246.9085063028615,2,warm
10,1.7963982449728064,179.63982449728064,2,warm
10,2.7120334199862555,271.20334199862555,2,warm
10,2.3111470969743095,231.11470969743095,2,warm
10,1.8614642229513265,186.14642229513265,2,warm
10,2.36776892101625,236.77689210162498,2,warm
10,2.202825821994338,220.28258219943382,2,warm
10,2.0933291710098274,209.33291710098274,2,warm
10,2.2422323600039817,224.22323600039817,2,warm
10,2.1271743830293417,212.71743830293417,2,warm
10,2.2004832370439544,220.04832370439544,2,warm
10,2.2665905859903432,226.65905859903432,2,warm
10,2.4036798879969865,240.36798879969865,2,warm
10,4.559721121971961,455.9721121971961,2,warm
10,5.49782408302417,549.782408302417,2,warm
10,2.881894049991388,288.1894049991388,2,warm
10,6.163679894991219,616.3679894991219,2,warm
10,4.670466257026419,467.0466257026419,2,warm
10,2.5687356640119106,256.87356640119106,2,warm
10,6.4237925600027665,642.3792560002767,2,warm
10,3.490449091012124,349.0449091012124,2,warm
10,5.704133310006,570.4133310006,2,warm
10,6.297728543984704,629.7728543984704,2,warm
10,5.820623778970912,582.0623778970912,2,warm
10,4.804338798974641,480.43387989746407,2,warm
10,4.703947236004751,470.3947236004751,2,warm
10,5.459507589985151,545.9507589985151,2,warm
10,3.6492041389574297,364.92041389574297,2,warm
10,4.836472291965038,483.64722919650376,2,warm
10,5.687004440987948,568.7004440987948,2,warm
10,5.592226620996371,559.2226620996371,2,warm
10,3.8481252859928645,384.81252859928645,2,warm
10,6.86289306305116,686.289306305116,2,warm
10,5.430432113993447,543.0432113993447,2,warm
10,6.08306261303369,608.306261303369,2,warm
10,4.869725025026128,486.97250250261277,2,warm
10,5.039994877995923,503.9994877995924,2,warm
10,6.3773321629851125,637.7332162985113,2,warm
10,8.560917965020053,856.0917965020053,3,warm
10,9.302092295023613,930.2092295023613,3,warm
10,8.240642809018027,824.0642809018027,3,warm
10,8.849946392991114,884.9946392991114,3,warm
10,9.737318306986708,973.7318306986708,3,warm
10,8.534367794985883,853.4367794985883,3,warm
10,7.990159211971331,799.0159211971331,3,warm
10,7.276339447998907,727.6339447998907,3,warm
10,6.660211562993936,666.0211562993936,3,warm
10,7.229891169001348,722.9891169001348,3,warm
10,1.8309030859963968,183.09030859963968,3,warm
10,2.586813386005815,258.6813386005815,3,warm
10,2.2140388780389912,221.40388780389912,3,warm
10,1.4491086740163155,144.91086740163155,3,warm
10,2.2955392099684104,229.55392099684104,3,warm
10,1.845755327027291,184.5755327027291,3,warm
10,1.6070802650065161,160.7080265006516,3,warm
10,2.1941409130231477,219.41409130231477,3,warm
10,2.912668794975616,291.2668794975616,3,warm
10,2.4905407410115004,249.05407410115004,3,warm
10,2.2820681830053218,228.20681830053218,3,warm
10,2.459976090991404,245.9976090991404,3,warm
10,3.508521669951733,350.8521669951733,3,warm
10,1.5836119979503565,158.36119979503565,3,warm
10,2.305080491991248,230.5080491991248,3,warm
10,2.819817356998101,281.9817356998101,3,warm
10,2.0932564300019294,209.32564300019294,3,warm
10,2.423881953000091,242.3881953000091,3,warm
10,1.739712180045899,173.9712180045899,3,warm
10,2.741014574014116,274.1014574014116,3,warm
10,2.2600965699530207,226.00965699530207,3,warm
10,1.91968613199424,191.968613199424,3,warm
10,2.3991834149928764,239.91834149928764,3,warm
10,2.2046434620278887,220.46434620278887,3,warm
10,2.097789819992613,209.7789819992613,3,warm
10,2.2081556930206716,220.81556930206716,3,warm
10,2.164967061020434,216.4967061020434,3,warm
10,2.2273980819736607,222.73980819736607,3,warm
10,2.2675657959771343,226.75657959771343,3,warm
10,2.3480912530212663,234.80912530212663,3,warm
10,4.51693039102247,451.693039102247,3,warm
10,5.553088346030563,555.3088346030563,3,warm
10,2.8475309789646417,284.75309789646417,3,warm
10,6.095782988006249,609.5782988006249,3,warm
10,4.670889041968621,467.08890419686213,3,warm
10,2.473205999995116,247.32059999951161,3,warm
10,6.465056304994505,646.5056304994505,3,warm
10,3.433239925012458,343.3239925012458,3,warm
10,5.795278551988304,579.5278551988304,3,warm
10,6.341667023021728,634.1667023021728,3,warm
10,6.033865605015308,603.3865605015308,3,warm
10,4.8612048419890925,486.12048419890925,3,warm
10,4.789231146976817,478.92311469768174,3,warm
10,5.477905947016552,547.7905947016552,3,warm
10,3.7409228420001455,374.09228420001455,3,warm
10,4.828481325996108,482.84813259961084,3,warm
10,5.720802670984995,572.0802670984995,3,warm
10,5.61817330197664,561.817330197664,3,warm
10,3.7504274650127627,375.04274650127627,3,warm
10,6.821383697038982,682.1383697038982,3,warm
10,5.4643278130097315,546.4327813009731,3,warm
10,6.043495905993041,604.3495905993041,3,warm
