model,best_threshold,best_f1,best_precision,best_recall,cv_f1_mean,cv_f1_std,cv_threshold,cv_precision,cv_recall,arch_cv_f1_mean,arch_cv_f1_std,arch_cv_threshold,roc_auc,recall_at_0.90,total_pairs,total_duplicates
all-minilm_latest,0.62,0.9781,0.9767,0.9795,0.9771,0.0031,0.62,0.9767,0.9775,0.9698,0.017,0.61,0.9969,0.368,4363,2440
bge-m3_latest,0.68,0.987,0.9786,0.9956,0.9861,0.0034,0.69,0.9803,0.992,0.9811,0.0097,0.69,0.998,0.2865,4475,2475
mxbai-embed-large_latest,0.73,0.9851,0.98,0.9903,0.9842,0.0031,0.73,0.9803,0.9883,0.9842,0.0108,0.73,0.9978,0.4735,4475,2475
nomic-embed-text_latest,0.73,0.9742,0.9651,0.9834,0.9742,0.0033,0.73,0.9651,0.9834,0.977,0.0063,0.73,0.9942,0.3576,4475,2475
qwen3-embedding_latest,0.73,0.9906,0.9856,0.9956,0.9899,0.0041,0.73,0.9843,0.9955,0.9824,0.0117,0.72,0.9987,0.5737,4475,2475
snowflake-arctic-embed_latest,0.63,0.979,0.9676,0.9907,0.9764,0.0064,0.64,0.9677,0.9854,0.9702,0.0124,0.64,0.9972,0.221,4475,2475
