batch_size,latency_s,latency_per_item_ms,pass,pass_type
1,1.6907641809993947,1690.7641809993947,1,cold
1,1.6609780759990826,1660.9780759990826,1,cold
1,1.5953626509999594,1595.3626509999594,1,cold
1,1.2877995369999553,1287.7995369999553,1,cold
1,1.6990811830000894,1699.0811830000894,1,cold
1,1.669913607998751,1669.913607998751,1,cold
1,1.3571184039992659,1357.1184039992659,1,cold
1,1.8125103160000435,1812.5103160000435,1,cold
1,1.4161103559999901,1416.1103559999901,1,cold
1,1.3956443070001114,1395.6443070001114,1,cold
1,2.8630421109992312,2863.042110999231,1,cold
1,2.709215627000958,2709.215627000958,1,cold
1,2.440620723000393,2440.620723000393,1,cold
1,1.8766308750000462,1876.6308750000462,1,cold
1,2.6204978229998233,2620.4978229998233,1,cold
1,2.4769579579988203,2476.9579579988203,1,cold
1,1.9527702899995347,1952.7702899995347,1,cold
1,2.4145828330001677,2414.5828330001677,1,cold
1,2.304111092000312,2304.111092000312,1,cold
1,2.0122314389991516,2012.2314389991516,1,cold
1,2.6359421760007535,2635.9421760007535,1,cold
1,2.3258149060002324,2325.8149060002324,1,cold
1,2.3749919600013527,2374.9919600013527,1,cold
1,1.5235403669994412,1523.5403669994412,1,cold
1,2.3073060540009465,2307.3060540009465,1,cold
1,2.2966605679994245,2296.6605679994245,1,cold
1,1.6396912090003752,1639.6912090003752,1,cold
1,2.242352302000654,2242.352302000654,1,cold
1,1.7595826950000628,1759.5826950000628,1,cold
1,1.87849995400029,1878.49995400029,1,cold
1,1.4209413520002272,1420.9413520002272,1,cold
1,1.3109182879998116,1310.9182879998116,1,cold
1,1.4080150930003583,1408.0150930003583,1,cold
1,1.4154368290001003,1415.4368290001003,1,cold
1,1.290567705000285,1290.567705000285,1,cold
1,1.532880341001146,1532.880341001146,1,cold
1,1.234313947001283,1234.313947001283,1,cold
1,1.4271607310001855,1427.1607310001855,1,cold
1,1.0753685859999678,1075.3685859999678,1,cold
1,1.3344305380014703,1334.4305380014703,1,cold
1,2.2691656520000834,2269.1656520000834,1,cold
1,2.018873118000556,2018.8731180005561,1,cold
1,2.152915057999053,2152.915057999053,1,cold
1,1.4160894149990781,1416.0894149990781,1,cold
1,2.1100379529998463,2110.0379529998463,1,cold
1,2.0313222389995644,2031.3222389995644,1,cold
1,1.4057205169992812,1405.7205169992812,1,cold
1,2.1034270219988684,2103.4270219988684,1,cold
1,2.18145419999928,2181.45419999928,1,cold
1,1.4613212370004476,1461.3212370004476,1,cold
1,2.1445875959998375,2144.5875959998375,1,cold
1,1.547732076000102,1547.732076000102,1,cold
1,1.7922878049994324,1792.2878049994324,1,cold
1,1.3151795789999596,1315.1795789999596,1,cold
1,1.7084110079995298,1708.4110079995298,1,cold
1,1.7755065319997811,1775.5065319997811,1,cold
1,1.3088278119994357,1308.8278119994357,1,cold
1,1.7875756840003305,1787.5756840003305,1,cold
1,1.7569240609991539,1756.9240609991539,1,cold
1,1.4846736279996549,1484.6736279996549,1,cold
1,1.4397428970005421,1439.7428970005421,1,cold
1,1.3051353079990804,1305.1353079990804,1,cold
1,1.4048624449987983,1404.8624449987983,1,cold
1,1.3900732319998497,1390.0732319998497,1,cold
1,1.2553385720002552,1255.3385720002552,1,cold
1,1.3869847200003278,1386.9847200003278,1,cold
1,1.3469784660010191,1346.9784660010191,1,cold
1,1.3027183539998077,1302.7183539998077,1,cold
1,1.1023320399999648,1102.3320399999648,1,cold
1,1.2636810170006356,1263.6810170006356,1,cold
1,2.7689900400000624,2768.9900400000624,1,cold
1,2.511197723000805,2511.197723000805,1,cold
1,2.5915757519996987,2591.5757519996987,1,cold
1,1.4731132029992295,1473.1132029992295,1,cold
1,2.7045479740008886,2704.5479740008886,1,cold
1,2.478704101000403,2478.704101000403,1,cold
1,1.5308108410008572,1530.8108410008572,1,cold
1,2.783528842999658,2783.528842999658,1,cold
1,2.1107109139993554,2110.7109139993554,1,cold
1,1.3183058120011992,1318.3058120011992,1,cold
1,2.6901597539999784,2690.1597539999784,1,cold
1,2.6106769739999436,2610.6769739999436,1,cold
1,2.4677373609993083,2467.7373609993083,1,cold
1,1.874165286000789,1874.165286000789,1,cold
1,2.5276774220001244,2527.6774220001244,1,cold
1,2.5492949559993576,2549.2949559993576,1,cold
1,2.035932369000875,2035.932369000875,1,cold
1,2.5522265559993684,2552.2265559993684,1,cold
1,2.217170668000108,2217.170668000108,1,cold
1,1.8144405109997024,1814.4405109997024,1,cold
1,2.7435094219999883,2743.5094219999883,1,cold
1,2.3142117229999712,2314.2117229999712,1,cold
1,2.3609569130003365,2360.9569130003365,1,cold
1,1.7931727650011453,1793.1727650011453,1,cold
1,2.634045677999893,2634.045677999893,1,cold
1,2.3231427169994276,2323.1427169994276,1,cold
1,1.7828251200007799,1782.8251200007799,1,cold
1,2.3578940780007542,2357.8940780007542,1,cold
1,1.9918131129998073,1991.8131129998073,1,cold
1,1.913605022999036,1913.605022999036,1,cold
1,2.273475205000068,2273.475205000068,1,cold
1,1.9792537100001937,1979.2537100001937,1,cold
1,2.046616304000054,2046.6163040000538,1,cold
1,1.312542425999709,1312.542425999709,1,cold
1,2.306966879999891,2306.966879999891,1,cold
1,2.0803426769998623,2080.3426769998623,1,cold
1,1.2635505959988222,1263.5505959988222,1,cold
1,2.1130094420004752,2113.0094420004752,1,cold
1,1.7177881150000758,1717.7881150000758,1,cold
1,1.17393716100014,1173.93716100014,1,cold
1,3.0200000910008384,3020.0000910008384,1,cold
1,2.713214846000483,2713.214846000483,1,cold
1,2.5808828409990383,2580.8828409990383,1,cold
1,1.6372220580014982,1637.2220580014982,1,cold
1,2.800759981999363,2800.759981999363,1,cold
1,2.5107693979989563,2510.7693979989563,1,cold
1,1.569572304999383,1569.572304999383,1,cold
1,2.7981748080001125,2798.1748080001125,1,cold
1,2.2890945130002365,2289.0945130002365,1,cold
1,1.530383843999516,1530.383843999516,1,cold
