strategy,f1,precision,recall,threshold,avg_text_words,embed_time_s
A: Title only,0.9533,0.9506,0.956,0.62,8.1,226.0
B: Title + Desc,0.9772,0.9774,0.977,0.65,33.6,984.1
C: Title + Desc + Console,0.9789,0.9717,0.9863,0.69,42.7,1418.5
D: All (BugSpotter full),0.9909,0.988,0.9939,0.74,70.2,2980.6
