model,best_threshold,best_f1,best_precision,best_recall,roc_auc,recall_at_0.90,total_pairs,total_duplicates
tfidf_baseline,0.17,0.9727,0.9654,0.9802,0.9956,0.0008,4475,2475
bm25_baseline,0.13,0.9511,0.9331,0.9697,0.9815,0.0008,4475,2475
bm25f_baseline,0.09,0.923,0.9167,0.9293,0.9683,0.0069,4475,2475
bm25f_tuned,0.05,0.9228,0.914,0.9317,0.9587,0.0,4475,2475
