batch_size,latency_s,latency_per_item_ms,pass,pass_type
1,1.8498159309983748,1849.8159309983748,1,cold
1,1.760745257999588,1760.745257999588,1,cold
1,1.6597655869991286,1659.7655869991286,1,cold
1,1.339024924000114,1339.024924000114,1,cold
1,1.8244873699986783,1824.4873699986783,1,cold
1,1.6957377849994373,1695.7377849994373,1,cold
1,1.34421132100033,1344.21132100033,1,cold
1,1.8126604310000403,1812.6604310000403,1,cold
1,1.415141253000911,1415.141253000911,1,cold
1,1.4563454829985858,1456.3454829985858,1,cold
1,2.886582425000597,2886.582425000597,1,cold
1,2.7998285129997385,2799.8285129997385,1,cold
1,2.4128979120014264,2412.8979120014264,1,cold
1,1.8987798569996812,1898.7798569996812,1,cold
1,2.620985039999141,2620.985039999141,1,cold
1,2.5146842720005225,2514.6842720005225,1,cold
1,2.0167447050007468,2016.7447050007468,1,cold
1,2.575059033000798,2575.059033000798,1,cold
1,2.45913272100006,2459.13272100006,1,cold
1,2.0217750100000558,2021.7750100000558,1,cold
1,2.6473271650011156,2647.3271650011156,1,cold
1,2.3251574160003656,2325.1574160003656,1,cold
1,2.400638085000537,2400.638085000537,1,cold
1,1.4725806709993776,1472.5806709993776,1,cold
1,2.2915412549991743,2291.5412549991743,1,cold
1,2.3248332219991426,2324.8332219991426,1,cold
1,1.659678984000493,1659.678984000493,1,cold
1,2.3079816030003713,2307.9816030003713,1,cold
1,1.7475014810006542,1747.5014810006542,1,cold
1,1.9127722110006289,1912.7722110006289,1,cold
1,1.4455627740007913,1445.5627740007913,1,cold
1,1.3166095609994954,1316.6095609994954,1,cold
1,1.4166252609993535,1416.6252609993535,1,cold
1,1.412074745998325,1412.074745998325,1,cold
1,1.2754386739998154,1275.4386739998154,1,cold
1,1.5735520300004282,1573.5520300004282,1,cold
1,1.3054505689997313,1305.4505689997313,1,cold
1,1.4261034170012863,1426.1034170012863,1,cold
1,1.093674423000266,1093.674423000266,1,cold
1,1.3407889999998588,1340.7889999998588,1,cold
1,2.3671572350012866,2367.1572350012866,1,cold
1,2.0495681339998555,2049.5681339998555,1,cold
1,2.1619107400001667,2161.9107400001667,1,cold
1,1.4286977909996494,1428.6977909996494,1,cold
1,2.264845178999167,2264.845178999167,1,cold
1,2.0775712649992784,2077.5712649992784,1,cold
1,1.4249468710004294,1424.9468710004294,1,cold
1,2.11997073800012,2119.97073800012,1,cold
1,2.2738716570001998,2273.8716570002,1,cold
1,1.608180180999625,1608.180180999625,1,cold
1,2.3688098179991357,2368.8098179991357,1,cold
1,1.5804710480006179,1580.4710480006179,1,cold
1,1.8014654479993624,1801.4654479993624,1,cold
1,1.3314186709994829,1331.4186709994829,1,cold
1,1.7019018510000024,1701.9018510000024,1,cold
1,1.7041376489996765,1704.1376489996765,1,cold
1,1.325812245000634,1325.812245000634,1,cold
1,1.8128230559996155,1812.8230559996155,1,cold
1,1.7641526959996554,1764.1526959996554,1,cold
1,1.5117823489999864,1511.7823489999864,1,cold
1,1.549926988000152,1549.926988000152,1,cold
1,1.3313644049994764,1331.3644049994764,1,cold
1,1.4072445960009645,1407.2445960009645,1,cold
1,1.433358035999845,1433.358035999845,1,cold
1,1.2878698229997099,1287.8698229997099,1,cold
1,1.3464354560001084,1346.4354560001084,1,cold
1,1.3401852189999772,1340.1852189999772,1,cold
1,1.338104262998968,1338.104262998968,1,cold
1,1.1198754300003202,1119.8754300003202,1,cold
1,1.2994877729997825,1299.4877729997825,1,cold
1,2.8322713849993306,2832.2713849993306,1,cold
1,2.5827260829992156,2582.7260829992156,1,cold
1,2.681649861000551,2681.649861000551,1,cold
1,1.4876413900001353,1487.6413900001353,1,cold
1,2.6436777239996445,2643.6777239996445,1,cold
1,2.5473622400004388,2547.3622400004388,1,cold
1,1.5980955030008772,1598.0955030008772,1,cold
1,2.8661064919997443,2866.1064919997443,1,cold
1,2.1572720669992123,2157.2720669992123,1,cold
1,1.3417947510006343,1341.7947510006343,1,cold
1,2.764672798000902,2764.672798000902,1,cold
1,2.757471988999896,2757.471988999896,1,cold
1,2.68111943599979,2681.11943599979,1,cold
1,2.0689873379997152,2068.9873379997152,1,cold
1,2.588728758000798,2588.728758000798,1,cold
1,2.6322540569999546,2632.2540569999546,1,cold
1,2.0820665909996023,2082.0665909996023,1,cold
1,2.6232989660002204,2623.2989660002204,1,cold
1,2.2401973989999533,2240.1973989999533,1,cold
1,1.8901501790005568,1890.1501790005568,1,cold
1,2.8154618669996125,2815.4618669996125,1,cold
1,2.390685078000388,2390.685078000388,1,cold
1,2.371596885999679,2371.596885999679,1,cold
1,1.857371988999148,1857.371988999148,1,cold
1,2.68824900799882,2688.24900799882,1,cold
1,2.419471973000327,2419.471973000327,1,cold
1,1.8734677159991406,1873.4677159991406,1,cold
1,2.4211377649990027,2421.1377649990027,1,cold
1,2.049488562000988,2049.488562000988,1,cold
