strategy,f1,precision,recall,threshold,avg_text_words,embed_time_s
A: Title only,0.9512,0.9497,0.9527,0.62,8.1,237.3
B: Title + Desc,0.977,0.9739,0.9802,0.64,33.6,1028.2
C: Title + Desc + Console,0.9785,0.9717,0.9855,0.69,42.7,1517.7
D: All (BugSpotter full),0.9909,0.988,0.9939,0.74,70.2,3096.5
