model,best_threshold,best_f1,best_precision,best_recall,roc_auc,recall_at_0.90,total_pairs,total_duplicates
tfidf_baseline,0.16,0.9684,0.9766,0.9604,0.9954,0.0,4475,2475
bm25_baseline,0.13,0.9646,0.96,0.9693,0.993,0.0008,4475,2475
bm25f_baseline,0.08,0.9362,0.933,0.9394,0.979,0.0065,4475,2475
bm25f_tuned,0.13,0.9487,0.9633,0.9345,0.9866,0.0044,4475,2475
