batch_size,latency_s,latency_per_item_ms,pass,pass_type
10,0.4679173939512111,46.79173939512111,1,cold
1,0.06325254496186972,63.25254496186972,1,cold
1,0.06400340504478663,64.00340504478663,1,cold
1,0.12266334402374923,122.66334402374923,1,cold
1,0.05287076998502016,52.87076998502016,1,cold
1,0.0592671119957231,59.2671119957231,1,cold
1,0.053251812991220504,53.251812991220504,1,cold
1,0.053755180968437344,53.755180968437344,1,cold
1,0.06312976102344692,63.12976102344692,1,cold
1,0.05511365702841431,55.11365702841431,1,cold
1,0.06096036301460117,60.96036301460117,1,cold
1,0.05631971301045269,56.31971301045269,1,cold
1,0.057810598984360695,57.810598984360695,1,cold
1,0.04234509699745104,42.34509699745104,1,cold
1,0.054692333040293306,54.692333040293306,1,cold
1,0.05464934901101515,54.64934901101515,1,cold
1,0.05302374897291884,53.02374897291884,1,cold
1,0.06006893003359437,60.06893003359437,1,cold
1,0.061086443020030856,61.086443020030856,1,cold
1,0.060049630992580205,60.049630992580205,1,cold
1,0.06026305299019441,60.26305299019441,1,cold
1,0.06107183999847621,61.07183999847621,1,cold
1,0.05998563498724252,59.98563498724252,1,cold
1,0.060977159009780735,60.977159009780735,1,cold
1,0.05782506999094039,57.82506999094039,1,cold
1,0.08343419199809432,83.43419199809432,1,cold
10,0.4303639860008843,43.03639860008843,1,cold
10,0.42916206596419215,42.916206596419215,1,cold
10,0.427257748960983,42.7257748960983,1,cold
1,0.04650355002377182,46.50355002377182,1,cold
1,0.05002571502700448,50.02571502700448,1,cold
1,0.05717891699168831,57.17891699168831,1,cold
1,0.06456226902082562,64.56226902082562,1,cold
1,0.0639199810102582,63.9199810102582,1,cold
1,0.06093297200277448,60.93297200277448,1,cold
1,0.06187118502566591,61.87118502566591,1,cold
1,0.04508804902434349,45.08804902434349,1,cold
10,0.3957933619967662,39.57933619967662,1,cold
10,0.44758049998199567,44.75804999819957,1,cold
10,0.10197110997978598,10.197110997978598,1,cold
10,0.13744574005249888,13.744574005249888,1,cold
10,0.12760390702169389,12.760390702169389,1,cold
10,0.08685314195463434,8.685314195463434,1,cold
10,0.13726093102013692,13.726093102013692,1,cold
10,0.10179836000315845,10.179836000315845,1,cold
10,0.09916817903285846,9.916817903285846,1,cold
10,0.1377799329929985,13.777993299299851,1,cold
10,0.15427826199447736,15.427826199447736,1,cold
10,0.11672627303050831,11.672627303050831,1,cold
10,0.11080887197749689,11.08088719774969,1,cold
10,0.13600450899684802,13.600450899684802,1,cold
10,0.18401458801236004,18.401458801236004,1,cold
10,0.09061631001532078,9.061631001532078,1,cold
10,0.13059798697941005,13.059798697941005,1,cold
10,0.16262934997212142,16.26293499721214,1,cold
10,0.11483119998592883,11.483119998592883,1,cold
10,0.12082479702075943,12.082479702075943,1,cold
10,0.10466773196822032,10.466773196822032,1,cold
10,0.1371751319966279,13.71751319966279,1,cold
10,0.12890430603874847,12.890430603874847,1,cold
10,0.10871392698027194,10.871392698027194,1,cold
10,0.14049372100271285,14.049372100271285,1,cold
10,0.128589961968828,12.8589961968828,1,cold
10,0.11362792801810429,11.362792801810429,1,cold
10,0.11681715201120824,11.681715201120824,1,cold
10,0.12136357900453731,12.136357900453731,1,cold
10,0.12393520202022046,12.393520202022046,1,cold
10,0.13009053299902007,13.009053299902007,1,cold
10,0.1312300480203703,13.12300480203703,1,cold
10,0.26392779900925234,26.392779900925234,1,cold
10,0.34524676599539816,34.524676599539816,1,cold
10,0.19776756298961118,19.776756298961118,1,cold
10,0.4293702579452656,42.93702579452656,1,cold
10,0.3006644900306128,30.06644900306128,1,cold
10,0.13274654402630404,13.274654402630404,1,cold
1,0.053612176969181746,53.612176969181746,1,cold
1,0.05166659702081233,51.66659702081233,1,cold
1,0.05538552795769647,55.38552795769647,1,cold
1,0.09369002003222704,93.69002003222704,1,cold
1,0.05012417398393154,50.12417398393154,1,cold
1,0.04601954098325223,46.01954098325223,1,cold
1,0.05303783301496878,53.03783301496878,1,cold
1,0.05536785098956898,55.36785098956898,1,cold
1,0.04976215900387615,49.76215900387615,1,cold
10,0.1769099700031802,17.69099700031802,1,cold
10,0.3716608200338669,37.16608200338669,1,cold
10,0.40540810994571075,40.540810994571075,1,cold
10,0.37671951099764556,37.671951099764556,1,cold
10,0.35669035400496796,35.669035400496796,1,cold
10,0.3055142569937743,30.551425699377432,1,cold
10,0.3364585430244915,33.64585430244915,1,cold
1,0.03298047400312498,32.98047400312498,1,cold
1,0.028629159030970186,28.629159030970186,1,cold
1,0.03275071596726775,32.75071596726775,1,cold
1,0.0294781579868868,29.4781579868868,1,cold
1,0.0305661570164375,30.5661570164375,1,cold
1,0.0298628979944624,29.8628979944624,1,cold
1,0.030891677015461028,30.891677015461028,1,cold
1,0.03511829301714897,35.11829301714897,1,cold
1,0.030213015037588775,30.213015037588775,1,cold
10,0.31899824598804116,31.899824598804116,1,cold
10,0.3456985710072331,34.56985710072331,1,cold
10,0.38040383299812675,38.040383299812675,1,cold
10,0.2083482130547054,20.83482130547054,1,cold
10,0.4095522849820554,40.95522849820554,1,cold
10,0.3225164369796403,32.25164369796403,1,cold
1,0.04741987097077072,47.41987097077072,1,cold
1,0.05106936802621931,51.06936802621931,1,cold
1,0.058060117007698864,58.060117007698864,1,cold
1,0.053558327024802566,53.558327024802566,1,cold
1,0.0552427539951168,55.2427539951168,1,cold
1,0.058972220052964985,58.972220052964985,1,cold
1,0.05537529301363975,55.37529301363975,1,cold
1,0.050104235007893294,50.104235007893294,1,cold
