model,threshold,precision,recall,f1,tp,fp,fn,tn
bge-m3_latest,0.74,0.9946,0.9685,0.9814,2397,13,78,1987
bge-m3_latest,0.75,0.9958,0.9539,0.9744,2361,10,114,1990
bge-m3_latest,0.76,0.9966,0.9406,0.9678,2328,8,147,1992
bge-m3_latest,0.77,0.9969,0.9232,0.9587,2285,7,190,1993
bge-m3_latest,0.78,0.9978,0.8978,0.9451,2222,5,253,1995
bge-m3_latest,0.79,0.9986,0.8752,0.9328,2166,3,309,1997
bge-m3_latest,0.8,0.999,0.8428,0.9143,2086,2,389,1998
bge-m3_latest,0.81,0.9995,0.8085,0.8939,2001,1,474,1999
bge-m3_latest,0.82,1.0,0.7745,0.873,1917,0,558,2000
bge-m3_latest,0.83,1.0,0.7152,0.8339,1770,0,705,2000
bge-m3_latest,0.84,1.0,0.6651,0.7988,1646,0,829,2000
bge-m3_latest,0.85,1.0,0.6121,0.7594,1515,0,960,2000
bge-m3_latest,0.86,1.0,0.5507,0.7103,1363,0,1112,2000
bge-m3_latest,0.87,1.0,0.4848,0.6531,1200,0,1275,2000
bge-m3_latest,0.88,1.0,0.421,0.5926,1042,0,1433,2000
bge-m3_latest,0.89,1.0,0.3612,0.5307,894,0,1581,2000
bge-m3_latest,0.9,1.0,0.2889,0.4483,715,0,1760,2000
bge-m3_latest,0.91,1.0,0.2267,0.3696,561,0,1914,2000
bge-m3_latest,0.92,1.0,0.1681,0.2878,416,0,2059,2000
bge-m3_latest,0.93,1.0,0.1119,0.2013,277,0,2198,2000
bge-m3_latest,0.94,1.0,0.0663,0.1243,164,0,2311,2000
bge-m3_latest,0.95,1.0,0.0303,0.0588,75,0,2400,2000
bge-m3_latest,0.96,1.0,0.0129,0.0255,32,0,2443,2000
bge-m3_latest,0.97,1.0,0.0024,0.0048,6,0,2469,2000
bge-m3_latest,0.98,0.0,0.0,0.0,0,0,2475,2000
bge-m3_latest,0.99,0.0,0.0,0.0,0,0,2475,2000
mxbai-embed-large_latest,0.5,0.6515,1.0,0.789,2475,1324,0,676
mxbai-embed-large_latest,0.51,0.6696,1.0,0.8021,2475,1221,0,779
mxbai-embed-large_latest,0.52,0.6931,1.0,0.8187,2475,1096,0,904
mxbai-embed-large_latest,0.53,0.71,1.0,0.8304,2475,1011,0,989
mxbai-embed-large_latest,0.54,0.7325,1.0,0.8456,2475,904,0,1096
mxbai-embed-large_latest,0.55,0.755,1.0,0.8604,2475,803,0,1197
mxbai-embed-large_latest,0.56,0.7815,1.0,0.8773,2475,692,0,1308
mxbai-embed-large_latest,0.57,0.7994,1.0,0.8885,2475,621,0,1379
mxbai-embed-large_latest,0.58,0.8187,1.0,0.9003,2475,548,0,1452
mxbai-embed-large_latest,0.59,0.837,1.0,0.9113,2475,482,0,1518
mxbai-embed-large_latest,0.6,0.8546,0.9996,0.9214,2474,421,1,1579
mxbai-embed-large_latest,0.61,0.8705,0.9996,0.9306,2474,368,1,1632
mxbai-embed-large_latest,0.62,0.888,0.9996,0.9405,2474,312,1,1688
mxbai-embed-large_latest,0.63,0.9016,0.9996,0.9481,2474,270,1,1730
mxbai-embed-large_latest,0.64,0.9156,0.9996,0.9558,2474,228,1,1772
mxbai-embed-large_latest,0.65,0.9283,0.9992,0.9624,2473,191,2,1809
mxbai-embed-large_latest,0.66,0.9389,0.9992,0.9681,2473,161,2,1839
mxbai-embed-large_latest,0.67,0.9493,0.9988,0.9734,2472,132,3,1868
mxbai-embed-large_latest,0.68,0.957,0.9984,0.9773,2471,111,4,1889
mxbai-embed-large_latest,0.69,0.9664,0.998,0.9819,2470,86,5,1914
mxbai-embed-large_latest,0.7,0.9716,0.9968,0.984,2467,72,8,1928
mxbai-embed-large_latest,0.71,0.9758,0.9956,0.9856,2464,61,11,1939
mxbai-embed-large_latest,0.72,0.9797,0.9943,0.987,2461,51,14,1949
mxbai-embed-large_latest,0.73,0.9836,0.9907,0.9871,2452,41,23,1959
mxbai-embed-large_latest,0.74,0.9851,0.9863,0.9857,2441,37,34,1963
mxbai-embed-large_latest,0.75,0.9882,0.9834,0.9858,2434,29,41,1971
mxbai-embed-large_latest,0.76,0.9906,0.977,0.9837,2418,23,57,1977
mxbai-embed-large_latest,0.77,0.9934,0.9693,0.9812,2399,16,76,1984
mxbai-embed-large_latest,0.78,0.9954,0.9572,0.9759,2369,11,106,1989
mxbai-embed-large_latest,0.79,0.9953,0.9483,0.9712,2347,11,128,1989
mxbai-embed-large_latest,0.8,0.9965,0.9325,0.9635,2308,8,167,1992
mxbai-embed-large_latest,0.81,0.9974,0.9143,0.954,2263,6,212,1994
mxbai-embed-large_latest,0.82,0.9973,0.8925,0.942,2209,6,266,1994
mxbai-embed-large_latest,0.83,0.9991,0.8634,0.9263,2137,2,338,1998
mxbai-embed-large_latest,0.84,0.9995,0.8279,0.9056,2049,1,426,1999
mxbai-embed-large_latest,0.85,0.9995,0.7822,0.8776,1936,1,539,1999
mxbai-embed-large_latest,0.86,0.9994,0.7269,0.8416,1799,1,676,1999
mxbai-embed-large_latest,0.87,1.0,0.6756,0.8064,1672,0,803,2000
mxbai-embed-large_latest,0.88,1.0,0.6166,0.7628,1526,0,949,2000
mxbai-embed-large_latest,0.89,1.0,0.5511,0.7106,1364,0,1111,2000
mxbai-embed-large_latest,0.9,1.0,0.4784,0.6472,1184,0,1291,2000
mxbai-embed-large_latest,0.91,1.0,0.4053,0.5768,1003,0,1472,2000
mxbai-embed-large_latest,0.92,1.0,0.3325,0.4991,823,0,1652,2000
mxbai-embed-large_latest,0.93,1.0,0.2505,0.4006,620,0,1855,2000
mxbai-embed-large_latest,0.94,1.0,0.1689,0.289,418,0,2057,2000
mxbai-embed-large_latest,0.95,1.0,0.1034,0.1875,256,0,2219,2000
mxbai-embed-large_latest,0.96,1.0,0.0473,0.0903,117,0,2358,2000
mxbai-embed-large_latest,0.97,1.0,0.0109,0.0216,27,0,2448,2000
mxbai-embed-large_latest,0.98,1.0,0.0008,0.0016,2,0,2473,2000
mxbai-embed-large_latest,0.99,0.0,0.0,0.0,0,0,2475,2000
nomic-embed-text_latest,0.5,0.5578,1.0,0.7161,2475,1962,0,38
nomic-embed-text_latest,0.51,0.5603,1.0,0.7182,2475,1942,0,58
nomic-embed-text_latest,0.52,0.5644,1.0,0.7216,2475,1910,0,90
nomic-embed-text_latest,0.53,0.5704,1.0,0.7264,2475,1864,0,136
