model,best_threshold,best_f1,best_precision,best_recall,cv_f1_mean,cv_f1_std,cv_threshold,cv_precision,cv_recall,arch_cv_f1_mean,arch_cv_f1_std,arch_cv_threshold,roc_auc,recall_at_0.90,total_pairs,total_duplicates
all-minilm_latest,0.62,0.9787,0.9767,0.9807,0.9787,0.004,0.62,0.9768,0.9808,0.9719,0.0175,0.61,0.997,0.3762,4363,2440
bge-m3_latest,0.7,0.9865,0.9843,0.9887,0.9848,0.0032,0.7,0.9822,0.9876,0.9805,0.0101,0.69,0.9979,0.2889,4475,2475
mxbai-embed-large_latest,0.73,0.9853,0.98,0.9907,0.9845,0.0027,0.73,0.9803,0.9887,0.9835,0.0123,0.73,0.9977,0.4784,4475,2475
nomic-embed-text_latest,0.73,0.9742,0.9651,0.9834,0.9731,0.002,0.74,0.9673,0.979,0.9765,0.0064,0.73,0.9941,0.3568,4475,2475
qwen3-embedding_latest,0.73,0.9908,0.9856,0.996,0.9901,0.0041,0.73,0.9843,0.9959,0.9826,0.0118,0.73,0.9987,0.5863,4475,2475
snowflake-arctic-embed_latest,0.67,0.9797,0.9833,0.9762,0.9773,0.0066,0.66,0.9752,0.9795,0.9708,0.0124,0.65,0.9972,0.2214,4475,2475
