store,scale,insert_time_s,query_p50_ms,query_p95_ms,query_p99_ms,storage_mb
pgvector,1000,1.3,2.86,4.11,4.43,13.3
chromadb,1000,0.52,2.44,2.58,2.65,8.8
sqlite-vec,1000,0.23,1.66,1.73,1.92,4.1
pgvector,10000,22.33,2.78,3.05,3.34,131.8
chromadb,10000,6.89,3.18,3.52,3.68,46.8
sqlite-vec,10000,2.51,17.0,17.67,18.39,40.6
pgvector,50000,559.04,7.7,14.11,17.59,658.8
chromadb,50000,45.04,3.66,4.32,4.7,215.8
sqlite-vec,50000,13.23,81.55,85.9,89.62,198.8
pgvector,100000,1567.25,9.74,15.61,24.78,1317.5
chromadb,100000,101.49,3.73,4.39,5.63,427.2
sqlite-vec,100000,26.74,163.36,169.87,175.51,397.6
