batch_size,latency_s,latency_per_item_ms,pass,pass_type
10,1.5696322900002997,156.96322900002997,1,cold
10,2.148517689001892,214.8517689001892,1,cold
10,1.7962323170031596,179.62323170031596,1,cold
10,1.197232027996506,119.72320279965061,1,cold
10,2.015731087001768,201.57310870017682,1,cold
10,1.5636530430019775,156.36530430019775,1,cold
10,1.261573790001421,126.1573790001421,1,cold
10,2.099270531001821,209.9270531001821,1,cold
10,2.5382454600003257,253.82454600003257,1,cold
10,1.9766436409991002,197.66436409991002,1,cold
10,1.8052446869987762,180.52446869987762,1,cold
10,2.233204828000453,223.32048280004528,1,cold
10,2.942452974999469,294.2452974999469,1,cold
10,1.3256093509990023,132.56093509990023,1,cold
10,1.9414724279995426,194.14724279995426,1,cold
10,2.5698569839987613,256.9856983998761,1,cold
10,1.8333040219986287,183.33040219986287,1,cold
10,1.933461990000069,193.3461990000069,1,cold
10,1.5604461160000938,156.04461160000938,1,cold
10,2.1817352549987845,218.17352549987845,1,cold
10,1.9127156319991627,191.27156319991627,1,cold
10,1.6192265140016389,161.9226514001639,1,cold
10,1.9223075459995016,192.23075459995016,1,cold
10,1.9480359769986535,194.80359769986535,1,cold
10,1.7811092349984392,178.11092349984392,1,cold
10,1.8007417240005452,180.07417240005452,1,cold
10,1.7610512970022683,176.10512970022683,1,cold
10,1.963304673001403,196.3304673001403,1,cold
10,1.9799058159987908,197.99058159987908,1,cold
10,2.0145028849983646,201.45028849983646,1,cold
10,4.130379279999033,413.03792799990333,1,cold
10,5.354115011999966,535.4115011999966,1,cold
10,2.391742519001127,239.17425190011272,1,cold
10,5.718344240998704,571.8344240998704,1,cold
10,4.5366084160014,453.66084160014,1,cold
10,2.0691880110025522,206.91880110025522,1,cold
10,5.9865655550020165,598.6565555002016,1,cold
10,2.815449429999717,281.5449429999717,1,cold
10,5.537105777999386,553.7105777999386,1,cold
10,5.8255209179988015,582.5520917998801,1,cold
10,5.552644372000941,555.2644372000941,1,cold
10,4.582900536999659,458.29005369996594,1,cold
10,4.562230378000095,456.2230378000095,1,cold
10,5.045132649000152,504.51326490001526,1,cold
10,3.2587709770014044,325.87709770014044,1,cold
10,4.830630122000002,483.06301220000023,1,cold
10,5.092207836998568,509.2207836998568,1,cold
10,5.165722830002778,516.5722830002778,1,cold
10,3.27553727600025,327.553727600025,1,cold
10,6.270341555002233,627.0341555002233,1,cold
10,5.08955961600077,508.95596160007693,1,cold
10,5.992600855999626,599.2600855999626,1,cold
10,4.606504104001942,460.65041040019423,1,cold
10,4.526804258002812,452.6804258002812,1,cold
10,5.6617775010017795,566.177750100178,1,cold
10,1.5264578829992388,152.64578829992388,2,warm
10,2.1575372759980382,215.75372759980382,2,warm
10,1.8632992279999598,186.32992279999598,2,warm
10,1.2666701849993842,126.66701849993842,2,warm
10,1.9726740699989023,197.26740699989023,2,warm
10,1.6185304520004138,161.85304520004138,2,warm
10,1.2983798169989313,129.83798169989313,2,warm
10,1.9993619939996279,199.9361993999628,2,warm
10,2.5839483119998476,258.39483119998476,2,warm
10,2.219570749999548,221.95707499995478,2,warm
10,1.752435078000417,175.2435078000417,2,warm
10,2.2227070450026076,222.27070450026076,2,warm
10,2.828497573002096,282.8497573002096,2,warm
10,1.295465946997865,129.5465946997865,2,warm
10,1.8988364949982497,189.88364949982497,2,warm
10,2.5190087539995147,251.90087539995147,2,warm
10,1.8405289340007585,184.05289340007585,2,warm
10,1.9193274770004791,191.9327477000479,2,warm
10,1.569460552000237,156.9460552000237,2,warm
10,2.121202529000584,212.1202529000584,2,warm
10,1.9261526230002346,192.61526230002346,2,warm
10,1.590053315001569,159.0053315001569,2,warm
10,1.8499719860010373,184.99719860010373,2,warm
10,1.996602734998305,199.6602734998305,2,warm
10,1.7524339070005226,175.24339070005226,2,warm
10,1.8194864059987594,181.94864059987594,2,warm
10,1.8087831559969345,180.87831559969345,2,warm
10,1.9238154989980103,192.38154989980103,2,warm
10,1.9944178510013444,199.44178510013444,2,warm
10,1.9762956339982338,197.62956339982338,2,warm
10,4.106052463001106,410.6052463001106,2,warm
10,5.188173968999763,518.8173968999763,2,warm
10,2.421738629000174,242.1738629000174,2,warm
10,5.793117748999066,579.3117748999066,2,warm
10,4.587924318999285,458.7924318999285,2,warm
10,2.174835071000416,217.4835071000416,2,warm
10,5.968846457999462,596.8846457999462,2,warm
10,2.7320236269988527,273.20236269988527,2,warm
10,5.634410095997737,563.4410095997737,2,warm
10,5.871093958001438,587.1093958001438,2,warm
10,5.711164337997616,571.1164337997616,2,warm
10,4.595925136000005,459.59251360000053,2,warm
10,4.715027018002729,471.5027018002729,2,warm
10,5.243323822000093,524.3323822000093,2,warm
10,3.3092284820013447,330.92284820013447,2,warm
10,4.851374811998539,485.13748119985394,2,warm
10,5.205014279999887,520.5014279999887,2,warm
10,5.266725228000723,526.6725228000723,2,warm
10,3.363236359997245,336.3236359997245,2,warm
10,6.2993788049971045,629.9378804997104,2,warm
10,5.1882487919974665,518.8248791997466,2,warm
10,6.021597489001579,602.1597489001579,2,warm
10,4.630437155999971,463.0437155999971,2,warm
10,4.53177497300203,453.17749730020296,2,warm
10,5.634334793998278,563.4334793998278,2,warm
10,1.5297464609975577,152.97464609975577,3,warm
10,2.160672223999427,216.0672223999427,3,warm
10,1.773761980002746,177.3761980002746,3,warm
10,1.2336102110020875,123.36102110020875,3,warm
10,1.9599779389973264,195.99779389973264,3,warm
10,1.5780691020008817,157.80691020008817,3,warm
10,1.3957226629972865,139.57226629972865,3,warm
10,1.9674210140001378,196.74210140001378,3,warm
10,2.587130829000671,258.7130829000671,3,warm
10,1.9665944560001662,196.65944560001662,3,warm
10,1.7320973099995172,173.20973099995172,3,warm
10,2.249436173999129,224.9436173999129,3,warm
10,2.91684124600215,291.684124600215,3,warm
10,1.3270419420005055,132.70419420005055,3,warm
10,1.9174499319997267,191.74499319997267,3,warm
10,2.5036778440007765,250.36778440007768,3,warm
10,1.8357756830009748,183.57756830009748,3,warm
10,1.8965454589997535,189.65454589997535,3,warm
10,1.631932374999451,163.1932374999451,3,warm
10,2.1537846169994737,215.37846169994737,3,warm
10,1.9300928409975313,193.00928409975313,3,warm
10,1.701121839996631,170.1121839996631,3,warm
10,1.9167253719970176,191.67253719970176,3,warm
10,1.9123750610015122,191.23750610015122,3,warm
10,1.7847135789997992,178.47135789997992,3,warm
10,1.7755385609998484,177.55385609998484,3,warm
10,1.7317109040013747,173.17109040013747,3,warm
10,1.9110331060001045,191.10331060001045,3,warm
10,1.9509422189985344,195.09422189985344,3,warm
10,2.023926288002258,202.3926288002258,3,warm
10,4.0220904130001145,402.20904130001145,3,warm
10,5.157164332998946,515.7164332998946,3,warm
10,2.388575998997112,238.8575998997112,3,warm
10,5.736445468999591,573.6445468999591,3,warm
10,4.52812259699931,452.812259699931,3,warm
10,2.0853429029994004,208.53429029994004,3,warm
10,6.07456787800038,607.456787800038,3,warm
10,2.8244347930012736,282.44347930012736,3,warm
10,5.85687868000241,585.687868000241,3,warm
10,5.9434638310012815,594.3463831001282,3,warm
10,5.686233299999003,568.6233299999003,3,warm
10,4.551465549000568,455.1465549000568,3,warm
10,4.676845560999936,467.68455609999364,3,warm
10,5.100602873000753,510.06028730007523,3,warm
10,3.2309053280005173,323.09053280005173,3,warm
10,4.891189518999454,489.1189518999454,3,warm
10,5.13481126500119,513.481126500119,3,warm
10,5.274297258998558,527.4297258998558,3,warm
10,3.3021173870001803,330.21173870001803,3,warm
10,6.327862007001386,632.7862007001386,3,warm
10,5.160350735000975,516.0350735000975,3,warm
10,5.996373841000604,599.6373841000604,3,warm
10,4.600320883000677,460.0320883000677,3,warm
10,4.577800286999263,457.78002869992633,3,warm
10,5.677522698002576,567.7522698002576,3,warm
