model,threshold,precision,recall,f1,tp,fp,fn,tn
all-minilm_latest,0.5,0.9244,0.9967,0.9592,2432,199,8,1724
all-minilm_latest,0.51,0.9296,0.9963,0.9618,2431,184,9,1739
all-minilm_latest,0.52,0.9354,0.9963,0.9649,2431,168,9,1755
all-minilm_latest,0.53,0.9397,0.9959,0.967,2430,156,10,1767
all-minilm_latest,0.54,0.947,0.9959,0.9708,2430,136,10,1787
all-minilm_latest,0.55,0.9502,0.9939,0.9716,2425,127,15,1796
all-minilm_latest,0.56,0.9539,0.9922,0.9727,2421,117,19,1806
all-minilm_latest,0.57,0.9568,0.9906,0.9734,2417,109,23,1814
all-minilm_latest,0.58,0.9618,0.9898,0.9756,2415,96,25,1827
all-minilm_latest,0.59,0.9655,0.9877,0.9765,2410,86,30,1837
all-minilm_latest,0.6,0.9686,0.9861,0.9773,2406,78,34,1845
all-minilm_latest,0.61,0.9713,0.984,0.9776,2401,71,39,1852
all-minilm_latest,0.62,0.9767,0.9807,0.9787,2393,57,47,1866
all-minilm_latest,0.63,0.9783,0.9779,0.9781,2386,53,54,1870
all-minilm_latest,0.64,0.981,0.9734,0.9772,2375,46,65,1877
all-minilm_latest,0.65,0.9842,0.9684,0.9762,2363,38,77,1885
all-minilm_latest,0.66,0.9858,0.9639,0.9747,2352,34,88,1889
all-minilm_latest,0.67,0.9886,0.957,0.9725,2335,27,105,1896
all-minilm_latest,0.68,0.9898,0.9516,0.9703,2322,24,118,1899
all-minilm_latest,0.69,0.9914,0.9402,0.9651,2294,20,146,1903
all-minilm_latest,0.7,0.993,0.9328,0.962,2276,16,164,1907
all-minilm_latest,0.71,0.9956,0.9205,0.9566,2246,10,194,1913
all-minilm_latest,0.72,0.9973,0.9082,0.9507,2216,6,224,1917
all-minilm_latest,0.73,0.9973,0.8971,0.9446,2189,6,251,1917
all-minilm_latest,0.74,0.9977,0.8811,0.9358,2150,5,290,1918
all-minilm_latest,0.75,0.9981,0.8664,0.9276,2114,4,326,1919
all-minilm_latest,0.76,0.9981,0.8488,0.9174,2071,4,369,1919
all-minilm_latest,0.77,0.998,0.832,0.9075,2030,4,410,1919
all-minilm_latest,0.78,0.998,0.8078,0.8929,1971,4,469,1919
all-minilm_latest,0.79,0.9979,0.7857,0.8792,1917,4,523,1919
all-minilm_latest,0.8,0.9984,0.7615,0.864,1858,3,582,1920
all-minilm_latest,0.81,0.9994,0.7311,0.8445,1784,1,656,1922
all-minilm_latest,0.82,0.9994,0.7053,0.827,1721,1,719,1922
all-minilm_latest,0.83,0.9994,0.6705,0.8026,1636,1,804,1922
all-minilm_latest,0.84,0.9994,0.6361,0.7774,1552,1,888,1922
all-minilm_latest,0.85,0.9993,0.598,0.7482,1459,1,981,1922
all-minilm_latest,0.86,0.9993,0.5582,0.7163,1362,1,1078,1922
