model,best_threshold,best_f1,best_precision,best_recall,cv_f1_mean,cv_f1_std,cv_threshold,cv_precision,cv_recall,arch_cv_f1_mean,arch_cv_f1_std,arch_cv_threshold,roc_auc,recall_at_0.90,total_pairs,total_duplicates
all-minilm_latest,0.62,0.9789,0.9771,0.9807,0.9773,0.0064,0.64,0.9839,0.9709,0.9648,0.0204,0.62,0.9979,0.3762,4415,2440
bge-m3_latest,0.69,0.9889,0.9863,0.9915,0.988,0.0041,0.69,0.984,0.992,0.9833,0.013,0.69,0.9989,0.2889,4475,2475
mxbai-embed-large_latest,0.73,0.9871,0.9836,0.9907,0.9859,0.0045,0.73,0.9811,0.9908,0.9793,0.0131,0.72,0.9988,0.4784,4475,2475
nomic-embed-text_latest,0.73,0.9816,0.9799,0.9834,0.9807,0.0031,0.73,0.9799,0.9815,0.974,0.0088,0.73,0.9971,0.3568,4475,2475
qwen3-embedding_latest,0.74,0.9899,0.9868,0.9931,0.9889,0.0013,0.74,0.9855,0.9924,0.9798,0.0142,0.73,0.9991,0.5863,4475,2475
snowflake-arctic-embed_latest,0.65,0.9806,0.9791,0.9822,0.9792,0.0024,0.66,0.9799,0.9786,0.9681,0.0174,0.64,0.9979,0.2214,4475,2475
